year,level,task,official_variant,pdf_file,pdf_page,source_text_checked,bold_checked,italic_checked,underline_checked,super_subscript_checked,formula_checked,table_checked,visual_checked,source_visual_ref,implementation_file,actual_control,required_control,interaction_checked,correct_answer,alternatives_checked,scorer_checked,autosave_checked,reload_checked,criteria_checked,result,defect_id,evidence
2025,profile,1,1,ege-2025-matematika-profil-demoversiya.pdf,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-04.webp,assets/condition-1-1.webp,numeric_input,numeric_input,PASS_BROWSER,61,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-1-1.webp direct PDF crop; source p4; answer table p14
2025,profile,1,2,ege-2025-matematika-profil-demoversiya.pdf,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-04.webp,assets/condition-1-2.webp,numeric_input,numeric_input,PASS_BROWSER,18,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-1-2.webp direct PDF crop; source p4; answer table p14
2025,profile,1,3,ege-2025-matematika-profil-demoversiya.pdf,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-04.webp,assets/condition-1-3.webp,numeric_input,numeric_input,PASS_BROWSER,157,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-1-3.webp direct PDF crop; source p4; answer table p14
2025,profile,1,4,ege-2025-matematika-profil-demoversiya.pdf,5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-05.webp,assets/condition-1-4.webp,numeric_input,numeric_input,PASS_BROWSER,5,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-1-4.webp direct PDF crop; source p5; answer table p14
2025,profile,2,1,ege-2025-matematika-profil-demoversiya.pdf,5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-05.webp,assets/condition-2-1.webp,numeric_input,numeric_input,PASS_BROWSER,12,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-2-1.webp direct PDF crop; source p5; answer table p14
2025,profile,2,2,ege-2025-matematika-profil-demoversiya.pdf,5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-05.webp,assets/condition-2-2.webp,numeric_input,numeric_input,PASS_BROWSER,29,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-2-2.webp direct PDF crop; source p5; answer table p14
2025,profile,3,1,ege-2025-matematika-profil-demoversiya.pdf,5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-05.webp,assets/condition-3-1.webp,numeric_input,numeric_input,PASS_BROWSER,"1,125",PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-3-1.webp direct PDF crop; source p5; answer table p14
2025,profile,3,2,ege-2025-matematika-profil-demoversiya.pdf,6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-06.webp,assets/condition-3-2.webp,numeric_input,numeric_input,PASS_BROWSER,340,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-3-2.webp direct PDF crop; source p6; answer table p14
2025,profile,3,3,ege-2025-matematika-profil-demoversiya.pdf,6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-06.webp,assets/condition-3-3.webp,numeric_input,numeric_input,PASS_BROWSER,104,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-3-3.webp direct PDF crop; source p6; answer table p14
2025,profile,4,1,ege-2025-matematika-profil-demoversiya.pdf,6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-06.webp,assets/condition-4-1.webp,numeric_input,numeric_input,PASS_BROWSER,"0,35",PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-4-1.webp direct PDF crop; source p6; answer table p14
2025,profile,4,2,ege-2025-matematika-profil-demoversiya.pdf,6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-06.webp,assets/condition-4-2.webp,numeric_input,numeric_input,PASS_BROWSER,"0,38",PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-4-2.webp direct PDF crop; source p6; answer table p14
2025,profile,5,1,ege-2025-matematika-profil-demoversiya.pdf,7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-07.webp,assets/condition-5-1.webp,numeric_input,numeric_input,PASS_BROWSER,"0,992",PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-5-1.webp direct PDF crop; source p7; answer table p14
2025,profile,5,2,ege-2025-matematika-profil-demoversiya.pdf,7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-07.webp,assets/condition-5-2.webp,numeric_input,numeric_input,PASS_BROWSER,"0,15",PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-5-2.webp direct PDF crop; source p7; answer table p14
2025,profile,6,1,ege-2025-matematika-profil-demoversiya.pdf,7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,source-evidence/printed-pages/profile-demo/page-07.webp,assets/condition-6-1.webp,numeric_input,numeric_input,PASS_BROWSER,4,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,PASS_BROWSER,N/A,PASS,,condition-6-1.webp direct PDF crop; source p7; answer table p14
