year,level,task,official_variant,source_page,control,official_answer_or_max,condition_asset,solution_assets,source_gate,visual_source_gate,interaction_gate
2024,profile,1,1,4,numeric_input,64,condition-1-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,1,2,4,numeric_input,6,condition-1-2.webp,,PASS,PASS,PASS_BROWSER
2024,profile,1,3,4,numeric_input,154,condition-1-3.webp,,PASS,PASS,PASS_BROWSER
2024,profile,1,4,4,numeric_input,16,condition-1-4.webp,,PASS,PASS,PASS_BROWSER
2024,profile,2,1,5,numeric_input,12,condition-2-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,2,2,5,numeric_input,10,condition-2-2.webp,,PASS,PASS,PASS_BROWSER
2024,profile,3,1,5,numeric_input,4,condition-3-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,3,2,5,numeric_input,12,condition-3-2.webp,,PASS,PASS,PASS_BROWSER
2024,profile,3,3,6,numeric_input,52,condition-3-3.webp,,PASS,PASS,PASS_BROWSER
2024,profile,4,1,6,numeric_input,"0,08",condition-4-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,4,2,6,numeric_input,"0,2",condition-4-2.webp,,PASS,PASS,PASS_BROWSER
2024,profile,5,1,6,numeric_input,"0,6",condition-5-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,5,2,6,numeric_input,"0,1",condition-5-2.webp,,PASS,PASS,PASS_BROWSER
2024,profile,6,1,7,numeric_input,9,condition-6-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,6,2,7,numeric_input,17,condition-6-2.webp,,PASS,PASS,PASS_BROWSER
2024,profile,6,3,7,numeric_input,93,condition-6-3.webp,,PASS,PASS,PASS_BROWSER
2024,profile,6,4,7,numeric_input,3,condition-6-4.webp,,PASS,PASS,PASS_BROWSER
2024,profile,7,1,7,numeric_input,"-0,96",condition-7-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,7,2,7,numeric_input,4,condition-7-2.webp,,PASS,PASS,PASS_BROWSER
2024,profile,7,3,7,numeric_input,16,condition-7-3.webp,,PASS,PASS,PASS_BROWSER
2024,profile,8,1,8,numeric_input,4,condition-8-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,8,2,8,numeric_input,"-1,75",condition-8-2.webp,,PASS,PASS,PASS_BROWSER
2024,profile,9,1,9,numeric_input,751,condition-9-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,10,1,9,numeric_input,5,condition-10-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,10,2,9,numeric_input,15,condition-10-2.webp,,PASS,PASS,PASS_BROWSER
2024,profile,10,3,9,numeric_input,"7,5",condition-10-3.webp,,PASS,PASS,PASS_BROWSER
2024,profile,11,1,10,numeric_input,61,condition-11-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,12,1,10,numeric_input,-83,condition-12-1.webp,,PASS,PASS,PASS_BROWSER
2024,profile,12,2,10,numeric_input,-6,condition-12-2.webp,,PASS,PASS,PASS_BROWSER
2024,profile,12,3,10,numeric_input,16,condition-12-3.webp,,PASS,PASS,PASS_BROWSER
2024,profile,13,1,11,extended_textarea,2,condition-13-1.webp,solution-13.webp,PASS,PASS,PASS_BROWSER
2024,profile,14,1,11,extended_textarea,3,condition-14-1.webp,solution-14.webp,PASS,PASS,PASS_BROWSER
2024,profile,15,1,11,extended_textarea,2,condition-15-1.webp,solution-15.webp,PASS,PASS,PASS_BROWSER
2024,profile,16,1,11,extended_textarea,2,condition-16-1.webp,solution-16.webp,PASS,PASS,PASS_BROWSER
2024,profile,17,1,12,extended_textarea,3,condition-17-1.webp,solution-17.webp|criteria-17.webp,PASS,PASS,PASS_BROWSER
2024,profile,18,1,12,extended_textarea,4,condition-18-1.webp,solution-18-p19.webp|solution-18-p20.webp|criteria-18.webp,PASS,PASS,PASS_BROWSER
2024,profile,19,1,12,extended_textarea,4,condition-19-1.webp,solution-19-p21.webp|solution-criteria-19-p22.webp,PASS,PASS,PASS_BROWSER
